Time,Message
2025-07-21 15:55:27, 成功读取配置文件:D:\KupaKuper_HMI\DeviceMode\测试设备3/Config.json
2025-07-21 15:55:27, 执行配置文件数据分组和初始化
2025-07-21 15:55:28, 开始构建通讯连接
2025-07-21 15:55:28, 构建通讯连接,根据配置使用OpcUa协议进行通讯
2025-07-21 15:55:28, 打开循环任务列表
2025-07-21 15:55:48, 客户端a37bb48f-4ae8-4048-975c-2313491c9504请求更新input组
2025-07-21 15:55:58, 客户端a37bb48f-4ae8-4048-975c-2313491c9504请求更新_5305E50E组
2025-07-21 15:55:58, 客户端a37bb48f-4ae8-4048-975c-2313491c9504关闭了更新input组的请求
2025-07-21 15:56:03, 客户端a37bb48f-4ae8-4048-975c-2313491c9504请求更新_9E201EC0组
2025-07-21 15:56:03, 客户端a37bb48f-4ae8-4048-975c-2313491c9504关闭了更新_5305E50E组的请求
2025-07-21 15:56:32, 客户端a37bb48f-4ae8-4048-975c-2313491c9504请求更新_D5C92693组
2025-07-21 15:56:32, 客户端a37bb48f-4ae8-4048-975c-2313491c9504关闭了更新_9E201EC0组的请求
2025-07-21 15:56:37, 加载日志文件错误: One or more errors occurred. (Sequence contains no elements)
2025-07-21 15:56:37, 客户端a37bb48f-4ae8-4048-975c-2313491c9504关闭了更新_D5C92693组的请求
2025-07-21 15:56:42, 加载日志文件错误: One or more errors occurred. (Sequence contains no elements)
2025-07-21 15:56:50, 加载日志文件错误: One or more errors occurred. (Sequence contains no elements)
2025-07-21 15:56:51, 加载日志文件错误: One or more errors occurred. (Sequence contains no elements)
2025-07-21 15:56:55, 加载日志文件错误: One or more errors occurred. (Sequence contains no elements)
2025-07-21 15:56:57, 加载日志文件错误: One or more errors occurred. (Sequence contains no elements)
2025-07-21 15:59:03, 加载日志文件错误: One or more errors occurred. (Sequence contains no elements)
2025-07-21 16:04:55, 成功读取配置文件:D:\KupaKuper_HMI\DeviceMode\测试设备3/Config.json
2025-07-21 16:04:55, 执行配置文件数据分组和初始化
2025-07-21 16:04:55, 开始构建通讯连接
2025-07-21 16:04:55, 构建通讯连接,根据配置使用OpcUa协议进行通讯
2025-07-21 16:04:55, 打开循环任务列表
2025-07-21 16:13:52, 成功读取配置文件:D:\KupaKuper_HMI\DeviceMode\测试设备3/Config.json
2025-07-21 16:13:52, 执行配置文件数据分组和初始化
2025-07-21 16:13:52, 开始构建通讯连接
2025-07-21 16:13:52, 构建通讯连接,根据配置使用OpcUa协议进行通讯
2025-07-21 16:13:52, 打开循环任务列表
2025-07-21 16:14:32, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee请求更新input组
2025-07-21 16:14:34, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee请求更新_5305E50E组
2025-07-21 16:14:34, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee关闭了更新input组的请求
2025-07-21 16:14:36, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee请求更新_9E201EC0组
2025-07-21 16:14:36, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee关闭了更新_5305E50E组的请求
2025-07-21 16:14:38, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee请求更新_D5C92693组
2025-07-21 16:14:38, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee关闭了更新_9E201EC0组的请求
2025-07-21 16:14:40, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee请求更新_9E201EC0组
2025-07-21 16:14:40, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee关闭了更新_D5C92693组的请求
2025-07-21 16:14:41, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee请求更新_5305E50E组
2025-07-21 16:14:41, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee关闭了更新_9E201EC0组的请求
2025-07-21 16:14:52, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee请求更新input组
2025-07-21 16:14:52, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee关闭了更新_5305E50E组的请求
2025-07-21 16:14:54, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee请求更新_5305E50E组
2025-07-21 16:14:54, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee关闭了更新input组的请求
2025-07-21 16:14:55, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee请求更新_9E201EC0组
2025-07-21 16:14:55, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee关闭了更新_5305E50E组的请求
2025-07-21 16:14:56, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee关闭了更新_9E201EC0组的请求
2025-07-21 16:20:40, 客户端a42e20c6-1f40-4920-8ebf-a90e303c18ee请求更新_9E201EC0组
2025-07-21 16:22:51, 成功读取配置文件:D:\KupaKuper_HMI\DeviceMode\测试设备3/Config.json
2025-07-21 16:22:51, 执行配置文件数据分组和初始化
2025-07-21 16:22:51, 开始构建通讯连接
2025-07-21 16:22:51, 构建通讯连接,根据配置使用OpcUa协议进行通讯
2025-07-21 16:22:51, 打开循环任务列表
2025-07-21 16:22:54, 客户端e0d4936e-3140-42b2-ace4-8fc8a39abcfb请求更新input组
2025-07-21 16:22:55, 客户端e0d4936e-3140-42b2-ace4-8fc8a39abcfb请求更新_9E201EC0组
2025-07-21 16:22:55, 客户端e0d4936e-3140-42b2-ace4-8fc8a39abcfb关闭了更新input组的请求
2025-07-21 16:26:47, 成功读取配置文件:D:\KupaKuper_HMI\DeviceMode\测试设备3/Config.json
2025-07-21 16:26:47, 执行配置文件数据分组和初始化
2025-07-21 16:26:47, 开始构建通讯连接
2025-07-21 16:26:47, 构建通讯连接,根据配置使用OpcUa协议进行通讯
2025-07-21 16:26:47, 打开循环任务列表
2025-07-21 16:26:49, 客户端a8ddee27-2f9a-4626-9b0e-77233a4b8bfd请求更新input组
2025-07-21 16:26:50, 客户端a8ddee27-2f9a-4626-9b0e-77233a4b8bfd请求更新_9E201EC0组
2025-07-21 16:26:50, 客户端a8ddee27-2f9a-4626-9b0e-77233a4b8bfd关闭了更新input组的请求
2025-07-21 16:27:25, 成功读取配置文件:D:\KupaKuper_HMI\DeviceMode\测试设备3/Config.json
2025-07-21 16:27:25, 执行配置文件数据分组和初始化
2025-07-21 16:27:25, 开始构建通讯连接
2025-07-21 16:27:25, 构建通讯连接,根据配置使用OpcUa协议进行通讯
2025-07-21 16:27:25, 打开循环任务列表
2025-07-21 16:27:27, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新input组
2025-07-21 16:27:28, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_9E201EC0组
2025-07-21 16:27:28, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新input组的请求
2025-07-21 16:39:23, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_5305E50E组
2025-07-21 16:39:23, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_9E201EC0组的请求
2025-07-21 16:39:31, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新input组
2025-07-21 16:39:31, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_5305E50E组的请求
2025-07-21 16:39:32, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_D5C92693组
2025-07-21 16:39:32, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新input组的请求
2025-07-21 16:39:33, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_9E201EC0组
2025-07-21 16:39:33, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_D5C92693组的请求
2025-07-21 16:39:36, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_5305E50E组
2025-07-21 16:39:36, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_9E201EC0组的请求
2025-07-21 16:39:39, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_D5C92693组
2025-07-21 16:39:39, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_5305E50E组的请求
2025-07-21 16:39:42, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_D5C92693组的请求
2025-07-21 16:40:45, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_D5C92693组
2025-07-21 16:40:45, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_9E201EC0组
2025-07-21 16:40:45, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_D5C92693组的请求
2025-07-21 16:40:54, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_5305E50E组
2025-07-21 16:40:54, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_9E201EC0组的请求
2025-07-21 16:40:57, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新input组
2025-07-21 16:40:57, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_5305E50E组的请求
2025-07-21 16:41:06, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_5305E50E组
2025-07-21 16:41:06, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新input组的请求
2025-07-21 16:41:07, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新input组
2025-07-21 16:41:07, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_5305E50E组的请求
2025-07-21 16:41:11, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_5305E50E组
2025-07-21 16:41:11, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新input组的请求
2025-07-21 16:41:12, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_9E201EC0组
2025-07-21 16:41:12, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_5305E50E组的请求
2025-07-21 16:41:13, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_9E201EC0组的请求
2025-07-21 16:41:21, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_9E201EC0组
2025-07-21 16:41:22, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新input组
2025-07-21 16:41:22, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_9E201EC0组的请求
2025-07-21 16:42:10, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_5305E50E组
2025-07-21 16:42:10, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新input组的请求
2025-07-21 16:42:10, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新input组
2025-07-21 16:42:10, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_5305E50E组的请求
2025-07-21 16:42:26, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新input组的请求
2025-07-21 16:42:29, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新input组
2025-07-21 16:42:30, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_5305E50E组
2025-07-21 16:42:30, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新input组的请求
2025-07-21 16:42:31, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新input组
2025-07-21 16:42:31, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_5305E50E组的请求
2025-07-21 16:42:45, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_5305E50E组
2025-07-21 16:42:45, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新input组的请求
2025-07-21 16:42:45, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新input组
2025-07-21 16:42:45, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_5305E50E组的请求
2025-07-21 16:42:46, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_5305E50E组
2025-07-21 16:42:46, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新input组的请求
2025-07-21 16:42:48, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新input组
2025-07-21 16:42:48, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_5305E50E组的请求
2025-07-21 16:43:29, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新_5305E50E组
2025-07-21 16:43:29, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新input组的请求
2025-07-21 16:43:30, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d请求更新input组
2025-07-21 16:43:30, 客户端4111a75c-dd66-42f4-9620-8e81c93dfa1d关闭了更新_5305E50E组的请求
2025-07-21 16:44:24, 成功读取配置文件:D:\KupaKuper_HMI\DeviceMode\测试设备3/Config.json
2025-07-21 16:44:24, 执行配置文件数据分组和初始化
2025-07-21 16:44:24, 开始构建通讯连接
2025-07-21 16:44:24, 构建通讯连接,根据配置使用OpcUa协议进行通讯
2025-07-21 16:44:24, 打开循环任务列表
2025-07-21 16:44:25, 客户端114bac8c-9812-4098-aac2-164af6c75959请求更新input组
2025-07-21 16:44:31, 客户端114bac8c-9812-4098-aac2-164af6c75959请求更新_5305E50E组
2025-07-21 16:44:31, 客户端114bac8c-9812-4098-aac2-164af6c75959关闭了更新input组的请求
2025-07-21 16:44:32, 客户端114bac8c-9812-4098-aac2-164af6c75959请求更新_9E201EC0组
2025-07-21 16:44:32, 客户端114bac8c-9812-4098-aac2-164af6c75959关闭了更新_5305E50E组的请求
2025-07-21 16:44:34, 客户端114bac8c-9812-4098-aac2-164af6c75959请求更新_D5C92693组
