Key,zh-cn,en-us
_C23F667A,输入IO点_0,InputIo_0
_FBF7BDF4,输入IO点_1,InputIo_1
_8C30000E,输入IO点_2,InputIo_2
_6E035BFA,输入IO点_3,InputIo_3
_D9EF80FF,输入IO点_4,InputIo_4
_39031A01,输入IO点_5,InputIo_5
_4699631D,输入IO点_6,InputIo_6
_914A35F5,输入IO点_7,InputIo_7
_ADBCFB95,输入IO点_8,InputIo_8
_8A1405C8,输入IO点_9,InputIo_9
_E9895054,输入IO点_10,InputIo_10
_F32B51F8,输入IO点_11,InputIo_11
_F454C45F,输入IO点_12,InputIo_12
_F0E0E324,输入IO点_13,InputIo_13
_25DDC8AC,输入IO点_14,InputIo_14
_ED60C078,输入IO点_15,InputIo_15
_F6BE5185,输入IO点_16,InputIo_16
_5F4369DE,输入IO点_17,InputIo_17
_44E4187B,输入IO点_18,InputIo_18
_6AFA07CB,输入IO点_19,InputIo_19
_62F9B60C,输入IO点_20,InputIo_20
_F3B497C8,输入IO点_21,InputIo_21
_592D10EC,输入IO点_22,InputIo_22
_DA05AEC2,输入IO点_23,InputIo_23
_E138A5B7,输入IO点_24,InputIo_24
_6A4F7AFB,输入IO点_25,InputIo_25
_24F21FC2,输入IO点_26,InputIo_26
_041F5595,输入IO点_27,InputIo_27
_180211FB,输入IO点_28,InputIo_28
_EE919D88,输入IO点_29,InputIo_29
_75A90D98,输入IO点_30,InputIo_30
_5B9809B3,输入IO点_31,InputIo_31
_3D368701,输入IO点_32,InputIo_32
_B38C1AFC,输入IO点_33,InputIo_33
_2AE69227,输入IO点_34,InputIo_34
_EFA98041,输入IO点_35,InputIo_35
_1401A526,输入IO点_36,InputIo_36
_333CC90A,输入IO点_37,InputIo_37
_B275DBDD,输入IO点_38,InputIo_38
_1C380336,输入IO点_39,InputIo_39
_A13E0AB9,输入IO点_40,InputIo_40
_6DB28ADB,输入IO点_41,InputIo_41
_0D609336,输入IO点_42,InputIo_42
_6404F257,输入IO点_43,InputIo_43
_BD1BD1ED,输入IO点_44,InputIo_44
_D5166495,输入IO点_45,InputIo_45
_EB617338,输入IO点_46,InputIo_46
_E6DC3F96,输入IO点_47,InputIo_47
_C9621A18,输入IO点_48,InputIo_48
_03E6517D,输入IO点_49,InputIo_49
_682A7BFF,输入IO点_50,InputIo_50
_240FE20A,输入IO点_51,InputIo_51
_341A593C,输入IO点_52,InputIo_52
_DFF0D416,输入IO点_53,InputIo_53
_933F45BA,输入IO点_54,InputIo_54
_4EB5A859,输入IO点_55,InputIo_55
_01149493,输入IO点_56,InputIo_56
_A32668BA,输入IO点_57,InputIo_57
_8EA6997B,输入IO点_58,InputIo_58
_C38ABD6D,输入IO点_59,InputIo_59
_569579D9,输入IO点_60,InputIo_60
_52E82FCC,输入IO点_61,InputIo_61
_F09C9C95,输入IO点_62,InputIo_62
_96BA1BEC,输入IO点_63,InputIo_63
_990E0C07,输入IO点_64,InputIo_64
_D0FCB3C5,输入IO点_65,InputIo_65
_D8D072FD,输入IO点_66,InputIo_66
_2557C102,输入IO点_67,InputIo_67
_66560F3E,输入IO点_68,InputIo_68
_7BBEE456,输入IO点_69,InputIo_69
_D8068F56,输入IO点_70,InputIo_70
_3D2F2142,输入IO点_71,InputIo_71
_1290978C,输入IO点_72,InputIo_72
_D44CF253,输入IO点_73,InputIo_73
_A1FD98CF,输入IO点_74,InputIo_74
_C1B2ED31,输入IO点_75,InputIo_75
_5D2C419C,输入IO点_76,InputIo_76
_B0B837C8,输入IO点_77,InputIo_77
_0E91F866,输入IO点_78,InputIo_78
_58F95F10,输入IO点_79,InputIo_79
_C7D9BCA9,输入IO点_80,InputIo_80
_1446BEDB,输入IO点_81,InputIo_81
_32580FF7,输入IO点_82,InputIo_82
_5CE250F0,输入IO点_83,InputIo_83
_CF54934B,输入IO点_84,InputIo_84
_08809CF0,输入IO点_85,InputIo_85
_FC91E5CB,输入IO点_86,InputIo_86
_DD39D712,输入IO点_87,InputIo_87
_32287D33,输入IO点_88,InputIo_88
_F7DC09A6,输入IO点_89,InputIo_89
_4BFE9210,输入IO点_90,InputIo_90
_7F856B3A,输入IO点_91,InputIo_91
_176AE15A,输入IO点_92,InputIo_92
_8B9FF2B5,输入IO点_93,InputIo_93
_F74AFF49,输入IO点_94,InputIo_94
_FC615421,输入IO点_95,InputIo_95
_173B3C9D,输入IO点_96,InputIo_96
_6816F827,输入IO点_97,InputIo_97
